idx,episode_id,label,confidence,racket,source_csv,lateral_offset_m,lateral_velocity_window_mps,pre_to_hit_delta_m,score_forehand,score_backhand,reason
0,Table_Tennis_01_005_TennisBats01_12p00_14p00_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.54989,-0.84766,-0.04155,5.75,0.00,body_local_swing_forehand
1,Table_Tennis_01_005_TennisBats01_1p36_3p36_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.31114,-1.91277,-0.10619,6.00,0.00,body_local_swing_forehand
2,Table_Tennis_01_005_TennisBats01_20p77_22p77_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.50460,-1.67560,-0.13531,6.75,0.00,body_local_swing_forehand
3,Table_Tennis_01_005_TennisBats01_29p44_31p44_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.42161,-1.48609,-0.11265,6.75,0.00,body_local_swing_forehand
4,Table_Tennis_01_005_TennisBats01_2p58_4p58_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.43211,-1.37790,-0.09565,6.75,0.00,body_local_swing_forehand
5,Table_Tennis_01_005_TennisBats01_31p99_33p99_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.63977,-1.78151,-0.11227,6.75,0.00,body_local_swing_forehand
6,Table_Tennis_01_005_TennisBats01_39p09_41p09_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.47544,-2.25253,-0.14004,6.75,0.00,body_local_swing_forehand
7,Table_Tennis_01_005_TennisBats01_3p83_5p83_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.54618,-0.98325,-0.05215,5.75,0.00,body_local_swing_forehand
8,Table_Tennis_01_005_TennisBats01_40p34_42p34_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.24964,-2.19694,-0.12888,6.00,0.00,body_local_swing_forehand
9,Table_Tennis_01_005_TennisBats01_41p58_43p58_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.58662,-1.36655,-0.07759,6.75,0.00,body_local_swing_forehand
10,Table_Tennis_01_005_TennisBats01_50p01_52p01_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.37780,-2.10257,-0.15518,6.75,0.00,body_local_swing_forehand
11,Table_Tennis_01_005_TennisBats01_51p31_53p31_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.41333,-2.13683,-0.14887,6.75,0.00,body_local_swing_forehand
12,Table_Tennis_01_005_TennisBats01_52p65_54p65_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.46537,-1.57301,-0.09915,6.75,0.00,body_local_swing_forehand
