idx,episode_id,label,confidence,racket,source_csv,lateral_offset_m,lateral_velocity_window_mps,pre_to_hit_delta_m,score_forehand,score_backhand,reason
31,Table_Tennis_01_005_TennisBats02_54p47_56p47_Skeleton002,unknown,0.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_005.csv,0.19463,0.23486,0.00365,0.00,1.00,weak_motion_evidence
44,Table_Tennis_01_006_TennisBats01_25p69_27p69_Skeleton001,backhand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.71461,0.71730,0.06505,0.75,6.00,body_local_swing_backhand
56,Table_Tennis_01_006_TennisBats01_47p65_49p65_Skeleton001,unknown,0.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.37035,-0.23742,-0.00944,1.75,0.00,weak_motion_evidence
78,Table_Tennis_01_006_TennisBats02_0p69_2p69_Skeleton002,unknown,0.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.28849,0.23155,0.00881,0.00,1.00,weak_motion_evidence
89,Table_Tennis_01_006_TennisBats02_36p41_38p41_Skeleton002,backhand,0.7500,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.18842,0.40971,0.01098,0.00,2.00,body_local_swing_backhand
111,Table_Tennis_01_006_TennisBats02_7p34_9p34_Skeleton002,backhand,0.7500,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.21545,0.27319,0.02253,0.00,2.00,body_local_swing_backhand
143,Table_Tennis_01_007_TennisBats01_77p88_79p88_Skeleton001,forehand,0.8000,TennisBats01,Csv/Rige Body/Table Tennis_01_007.csv,0.10004,-0.26790,-0.03786,3.00,0.75,body_local_swing_forehand
157,Table_Tennis_01_007_TennisBats02_38p83_40p83_Skeleton002,unknown,0.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_007.csv,0.13134,0.25046,0.00965,0.00,1.75,weak_motion_evidence
159,Table_Tennis_01_007_TennisBats02_41p59_43p59_Skeleton002,forehand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_007.csv,0.53641,-1.18664,-0.03993,5.75,0.00,body_local_swing_forehand
163,Table_Tennis_01_007_TennisBats02_53p98_55p98_Skeleton002,unknown,0.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_007.csv,0.16955,0.27019,0.01006,0.00,1.00,weak_motion_evidence
166,Table_Tennis_01_007_TennisBats02_57p70_59p70_Skeleton002,unknown,0.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_007.csv,0.10451,0.28448,0.00542,0.00,1.75,weak_motion_evidence
